Year,Deaths,2012,2013,2014,2015,2016,2017
2016,"154,358"," 53,102 "," 53,395 "," 55,290 "," 57,481 "," 59,280 "," 63,045 "
2015,"153,628"," 53,102 "," 53,395 "," 55,290 "," 57,481 "," 59,280 "," 63,045 "
2014,"149,944"," 53,102 "," 53,395 "," 55,290 "," 57,481 "," 59,280 "," 63,045 "
2013,"150,919"," 53,102 "," 53,395 "," 55,290 "," 57,481 "," 59,280 "," 63,045 "
2012,"148,991"," 53,102 "," 53,395 "," 55,290 "," 57,481 "," 59,280 "," 63,045 "
2017,"93,157"," 39,103 "," 38,394 "," 40,293 "," 42,076 "," 42,936 "," 44,529 "
2016,"90,465"," 39,103 "," 38,394 "," 40,293 "," 42,076 "," 42,936 "," 44,529 "
2015,"89,133"," 39,103 "," 38,394 "," 40,293 "," 42,076 "," 42,936 "," 44,529 "
2014,"85,367"," 39,103 "," 38,394 "," 40,293 "," 42,076 "," 42,936 "," 44,529 "
2013,"83,329"," 39,103 "," 38,394 "," 40,293 "," 42,076 "," 42,936 "," 44,529 "
2012,"81,925"," 39,103 "," 38,394 "," 40,293 "," 42,076 "," 42,936 "," 44,529 "
2017,"6,415"," 56,443 "," 54,900 "," 57,523 "," 53,991 "," 52,005 "," 52,455 "
2016,"6,242"," 56,443 "," 54,900 "," 57,523 "," 53,991 "," 52,005 "," 52,455 "
2015,"6,223"," 56,443 "," 54,900 "," 57,523 "," 53,991 "," 52,005 "," 52,455 "
2014,"6,184"," 56,443 "," 54,900 "," 57,523 "," 53,991 "," 52,005 "," 52,455 "
2013,"6,233"," 56,443 "," 54,900 "," 57,523 "," 53,991 "," 52,005 "," 52,455 "
2012,"6,038"," 56,443 "," 54,900 "," 57,523 "," 53,991 "," 52,005 "," 52,455 "
2017,"123,648"," 40,759 "," 41,259 "," 42,829 "," 44,442 "," 45,212 "," 46,711 "
2016,"119,572"," 40,759 "," 41,259 "," 42,829 "," 44,442 "," 45,212 "," 46,711 "
2015,"118,188"," 40,759 "," 41,259 "," 42,829 "," 44,442 "," 45,212 "," 46,711 "
2014,"114,509"," 40,759 "," 41,259 "," 42,829 "," 44,442 "," 45,212 "," 46,711 "
2013,"113,258"," 40,759 "," 41,259 "," 42,829 "," 44,442 "," 45,212 "," 46,711 "
2012,"112,498"," 40,759 "," 41,259 "," 42,829 "," 44,442 "," 45,212 "," 46,711 "
2017,"40,452"," 42,232 "," 44,017 "," 46,614 "," 44,894 "," 42,521 "," 44,444 "
2016,"39,276"," 42,232 "," 44,017 "," 46,614 "," 44,894 "," 42,521 "," 44,444 "
2015,"39,422"," 42,232 "," 44,017 "," 46,614 "," 44,894 "," 42,521 "," 44,444 "
2014,"38,464"," 42,232 "," 44,017 "," 46,614 "," 44,894 "," 42,521 "," 44,444 "
2013,"38,384"," 42,232 "," 44,017 "," 46,614 "," 44,894 "," 42,521 "," 44,444 "
2012,"36,870"," 42,232 "," 44,017 "," 46,614 "," 44,894 "," 42,521 "," 44,444 "
2017,"36,624"," 39,371 "," 39,788 "," 42,134 "," 44,694 "," 45,999 "," 47,983 "
2016,"35,778"," 39,371 "," 39,788 "," 42,134 "," 44,694 "," 45,999 "," 47,983 "
2015,"35,705"," 39,371 "," 39,788 "," 42,134 "," 44,694 "," 45,999 "," 47,983 "
2014,"34,151"," 39,371 "," 39,788 "," 42,134 "," 44,694 "," 45,999 "," 47,983 "
2013,"33,939"," 39,371 "," 39,788 "," 42,134 "," 44,694 "," 45,999 "," 47,983 "
2012,"32,759"," 39,371 "," 39,788 "," 42,134 "," 44,694 "," 45,999 "," 47,983 "
2017,"135,656"," 45,855 "," 46,213 "," 48,063 "," 49,927 "," 51,181 "," 52,499 "
2016,"133,040"," 45,855 "," 46,213 "," 48,063 "," 49,927 "," 51,181 "," 52,499 "
2015,"132,598"," 45,855 "," 46,213 "," 48,063 "," 49,927 "," 51,181 "," 52,499 "
2014,"128,434"," 45,855 "," 46,213 "," 48,063 "," 49,927 "," 51,181 "," 52,499 "
